m,m/s,km/h,min/km
2525.2,2.9,10.44,5.75
2528.6,3.1,11.16,5.38
2531.7,3.1,11.16,5.38
2537.5,3.1,11.16,5.38
2540.5,3.1,11.16,5.38
2543.5,3.0,10.8,5.56
2546.8,3.0,10.8,5.56
2549.9,3.0,10.8,5.56
2556.1,3.1,11.16,5.38
2560.0,3.3,11.88,5.05
2563.9,3.4,12.24,4.9
2567.2,3.5,12.6,4.76
2573.2,3.4,12.24,4.9
2578.9,3.0,10.8,5.56
2584.3,2.9,10.44,5.75
2587.6,2.9,10.44,5.75
2591.5,3.1,11.16,5.38
2594.5,3.1,11.16,5.38
2600.0,3.1,11.16,5.38
2605.8,2.9,10.44,5.75
2609.3,3.0,10.8,5.56
2612.6,3.0,10.8,5.56
2616.2,3.2,11.52,5.21
2619.9,3.3,11.88,5.05
2623.2,3.5,12.6,4.76
2626.9,3.5,12.6,4.76
2630.3,3.5,12.6,4.76
2633.8,3.5,12.6,4.76
2637.3,3.5,12.6,4.76
2640.6,3.5,12.6,4.76
2646.6,3.3,11.88,5.05
2651.8,2.9,10.44,5.75
2655.0,2.9,10.44,5.75
2658.5,3.0,10.8,5.56
2662.1,3.1,11.16,5.38
2667.3,3.1,11.16,5.38
2672.6,2.8,10.08,5.95
2677.9,2.6,9.36,6.41
2683.2,2.6,9.36,6.41
2688.5,2.7,9.72,6.17
2693.6,2.6,9.36,6.41
2696.8,2.7,9.72,6.17
2702.5,2.8,10.08,5.95
2707.8,2.8,10.08,5.95
2713.4,2.8,10.08,5.95
2718.6,2.7,9.72,6.17
2723.7,2.6,9.36,6.41
2729.7,2.7,9.72,6.17
2733.7,2.5,9.0,6.67
2739.2,2.6,9.36,6.41
2743.4,2.7,9.72,6.17
2746.6,2.8,10.08,5.95
2751.6,3.0,10.8,5.56
2756.1,2.5,9.0,6.67
2761.2,2.4,8.64,6.94
2766.2,2.4,8.64,6.94
2770.5,2.4,8.64,6.94
2773.8,2.5,9.0,6.67
2779.1,2.6,9.36,6.41
2783.6,2.6,9.36,6.41
2788.2,2.4,8.64,6.94
2791.5,2.5,9.0,6.67
2796.9,2.7,9.72,6.17
2802.0,2.8,10.08,5.95
2807.8,2.7,9.72,6.17
2811.4,2.9,10.44,5.75
2816.5,2.9,10.44,5.75
2820.6,3.1,11.16,5.38
2824.0,3.2,11.52,5.21
2827.8,3.3,11.88,5.05
2831.4,3.3,11.88,5.05
2836.1,3.1,11.16,5.38
2841.3,2.7,9.72,6.17
2844.4,2.6,9.36,6.41
2848.2,2.8,10.08,5.95
2851.8,3.1,11.16,5.38
2855.3,3.2,11.52,5.21
2858.3,3.4,12.24,4.9
2861.4,3.4,12.24,4.9
2865.3,3.4,12.24,4.9
2868.6,3.4,12.24,4.9
2873.8,3.1,11.16,5.38
2879.0,2.7,9.72,6.17
2884.6,2.7,9.72,6.17
2887.8,2.8,10.08,5.95
2893.9,3.0,10.8,5.56
2897.4,3.1,11.16,5.38
2900.9,3.3,11.88,5.05
2904.0,3.2,11.52,5.21
2908.9,3.0,10.8,5.56
2913.2,2.5,9.0,6.67
2918.9,2.5,9.0,6.67
2923.5,2.4,8.64,6.94
2927.0,2.3,8.28,7.25
2931.8,2.2,7.92,7.58
2936.2,2.1,7.56,7.94
2942.0,2.5,9.0,6.67
2945.6,2.8,10.08,5.95
2948.9,2.8,10.08,5.95
2952.6,3.3,11.88,5.05
2956.4,3.4,12.24,4.9
2960.2,3.6,12.96,4.63
2963.6,3.6,12.96,4.63
2967.0,3.6,12.96,4.63
2972.1,3.1,11.16,5.38
2976.1,2.5,9.0,6.67
2980.9,2.3,8.28,7.25
2987.0,2.5,9.0,6.67
2990.4,2.9,10.44,5.75
2994.1,3.0,10.8,5.56
2997.5,3.3,11.88,5.05
3000.9,3.3,11.88,5.05
3004.4,3.5,12.6,4.76
3007.9,3.5,12.6,4.76
3011.7,3.5,12.6,4.76
3015.8,3.7,13.32,4.5
3019.4,3.7,13.32,4.5
3022.6,3.6,12.96,4.63
3028.4,3.3,11.88,5.05
3032.1,3.3,11.88,5.05
3036.0,3.3,11.88,5.05
3039.6,3.4,12.24,4.9
3044.0,3.6,12.96,4.63
3048.5,4.0,14.4,4.17
3053.0,4.2,15.12,3.97
3057.3,4.3,15.48,3.88
3060.9,4.3,15.48,3.88
3064.4,4.1,14.76,4.07
3067.7,3.8,13.68,4.39
3070.8,3.6,12.96,4.63
3074.0,3.3,11.88,5.05
3077.4,3.3,11.88,5.05
3081.0,3.3,11.88,5.05
3084.4,3.3,11.88,5.05
3087.8,3.4,12.24,4.9
3091.4,3.5,12.6,4.76
3094.6,3.4,12.24,4.9
3097.8,3.4,12.24,4.9
3101.0,3.3,11.88,5.05
3104.9,3.4,12.24,4.9
3108.7,3.5,12.6,4.76
3112.3,3.5,12.6,4.76
3115.4,3.5,12.6,4.76
3118.7,3.5,12.6,4.76
3124.4,3.1,11.16,5.38
3130.0,2.9,10.44,5.75
3133.1,2.9,10.44,5.75
3138.7,2.9,10.44,5.75
3141.9,2.9,10.44,5.75
3147.9,3.0,10.8,5.56
3151.0,3.0,10.8,5.56
3154.3,3.1,11.16,5.38
3157.5,3.1,11.16,5.38
3163.2,3.1,11.16,5.38
3169.0,2.9,10.44,5.75
3174.8,2.9,10.44,5.75
3180.6,2.9,10.44,5.75
3186.5,2.9,10.44,5.75
3189.5,2.9,10.44,5.75
3192.6,3.0,10.8,5.56
3195.9,3.1,11.16,5.38
3201.8,3.1,11.16,5.38
3207.6,3.0,10.8,5.56
3213.0,2.8,10.08,5.95
3218.3,2.8,10.08,5.95
3223.7,2.7,9.72,6.17
3226.9,2.8,10.08,5.95
3230.5,2.9,10.44,5.75
3234.2,3.2,11.52,5.21
3237.7,3.2,11.52,5.21
3240.8,3.4,12.24,4.9
3246.2,3.1,11.16,5.38
3251.5,2.8,10.08,5.95
3254.6,2.8,10.08,5.95
3259.4,2.6,9.36,6.41
3264.8,2.7,9.72,6.17
3270.0,2.6,9.36,6.41
3275.4,2.7,9.72,6.17
3280.1,2.5,9.0,6.67
3285.5,2.6,9.36,6.41
3291.4,2.7,9.72,6.17
3294.8,2.9,10.44,5.75
3297.9,3.0,10.8,5.56
3303.8,3.1,11.16,5.38
3306.9,3.1,11.16,5.38
3312.8,3.0,10.8,5.56
3318.7,3.0,10.8,5.56
3321.8,3.0,10.8,5.56
3327.5,2.9,10.44,5.75
3333.5,3.0,10.8,5.56
3336.7,3.0,10.8,5.56
3340.0,3.0,10.8,5.56
3343.4,3.2,11.52,5.21
3347.3,3.3,11.88,5.05
3351.4,3.6,12.96,4.63
3354.9,3.6,12.96,4.63
3358.6,3.7,13.32,4.5
3361.8,3.7,13.32,4.5
3365.1,3.6,12.96,4.63
3368.5,3.4,12.24,4.9
3371.8,3.4,12.24,4.9
3375.2,3.3,11.88,5.05
3378.4,3.3,11.88,5.05
3384.2,3.1,11.16,5.38
3390.1,3.0,10.8,5.56
3393.2,3.0,10.8,5.56
3399.5,3.1,11.16,5.38
