m,m/s,km/h,min/km
10575.7,4.0,14.4,4.17
10579.7,3.9,14.04,4.27
10584.2,3.9,14.04,4.27
10588.9,4.1,14.76,4.07
10593.7,4.3,15.48,3.88
10598.2,4.5,16.2,3.7
10602.3,4.5,16.2,3.7
10606.3,4.4,15.84,3.79
10610.4,4.3,15.48,3.88
10614.2,4.1,14.76,4.07
10617.9,3.9,14.04,4.27
10621.7,3.9,14.04,4.27
10625.7,3.9,14.04,4.27
10630.2,4.0,14.4,4.17
10635.1,4.2,15.12,3.97
10640.5,4.5,16.2,3.7
10645.8,4.8,17.28,3.47
10650.9,5.0,18.0,3.33
10655.7,5.1,18.36,3.27
10660.5,5.1,18.36,3.27
10665.3,5.0,18.0,3.33
10669.5,4.7,16.92,3.55
10673.8,4.6,16.56,3.62
10678.0,4.5,16.2,3.7
10681.9,4.3,15.48,3.88
10685.8,4.1,14.76,4.07
10690.0,4.1,14.76,4.07
10694.4,4.1,14.76,4.07
10698.8,4.2,15.12,3.97
10703.3,4.3,15.48,3.88
10707.9,4.4,15.84,3.79
10712.5,4.5,16.2,3.7
10717.2,4.6,16.56,3.62
10722.0,4.6,16.56,3.62
10727.1,4.8,17.28,3.47
10731.9,4.8,17.28,3.47
10736.7,4.8,17.28,3.47
10741.3,4.8,17.28,3.47
10745.1,4.6,16.56,3.62
10748.9,4.4,15.84,3.79
10752.6,4.1,14.76,4.07
10756.4,3.9,14.04,4.27
10761.0,3.9,14.04,4.27
10765.3,4.0,14.4,4.17
10769.8,4.2,15.12,3.97
10774.1,4.3,15.48,3.88
10777.8,4.3,15.48,3.88
10781.7,4.1,14.76,4.07
10786.6,4.3,15.48,3.88
10792.0,4.4,15.84,3.79
10796.4,4.5,16.2,3.7
10800.6,4.6,16.56,3.62
10804.4,4.5,16.2,3.7
10808.2,4.3,15.48,3.88
10812.3,4.1,14.76,4.07
10816.6,4.0,14.4,4.17
10820.7,4.0,14.4,4.17
10824.4,4.0,14.4,4.17
10828.3,4.0,14.4,4.17
10832.5,4.0,14.4,4.17
10836.4,4.0,14.4,4.17
10840.3,3.9,14.04,4.27
10844.4,4.0,14.4,4.17
10847.6,3.9,14.04,4.27
10854.1,3.5,12.6,4.76
10860.4,3.2,11.52,5.21
10863.6,3.2,11.52,5.21
10867.0,3.2,11.52,5.21
10870.9,3.4,12.24,4.9
10874.4,3.4,12.24,4.9
10880.5,3.4,12.24,4.9
10884.2,3.4,12.24,4.9
10887.6,3.3,11.88,5.05
10891.2,3.4,12.24,4.9
10895.0,3.4,12.24,4.9
10898.7,3.6,12.96,4.63
10902.6,3.7,13.32,4.5
10906.7,3.8,13.68,4.39
10910.5,3.9,14.04,4.27
10914.6,3.9,14.04,4.27
10918.5,4.0,14.4,4.17
10923.1,4.1,14.76,4.07
10926.6,4.0,14.4,4.17
10931.1,4.1,14.76,4.07
10935.2,4.1,14.76,4.07
10939.1,4.1,14.76,4.07
10942.7,3.9,14.04,4.27
10946.9,4.1,14.76,4.07
10950.7,3.9,14.04,4.27
10955.0,4.0,14.4,4.17
10958.1,3.8,13.68,4.39
10961.9,3.8,13.68,4.39
10966.6,3.9,14.04,4.27
10971.1,4.1,14.76,4.07
10975.1,4.0,14.4,4.17
10979.4,4.3,15.48,3.88
10983.2,4.3,15.48,3.88
10986.8,4.0,14.4,4.17
10989.8,3.7,13.32,4.5
10995.7,3.3,11.88,5.05
10999.2,3.2,11.52,5.21
11002.9,3.2,11.52,5.21
11006.8,3.4,12.24,4.9
11010.7,3.5,12.6,4.76
11014.5,3.8,13.68,4.39
11018.4,3.8,13.68,4.39
11021.9,3.8,13.68,4.39
11025.3,3.7,13.32,4.5
11029.3,3.7,13.32,4.5
11033.2,3.7,13.32,4.5
11036.9,3.7,13.32,4.5
11040.7,3.8,13.68,4.39
11044.6,3.9,14.04,4.27
11048.4,3.8,13.68,4.39
11052.0,3.8,13.68,4.39
11055.7,3.8,13.68,4.39
11059.2,3.7,13.32,4.5
11063.0,3.7,13.32,4.5
11067.0,3.7,13.32,4.5
11070.6,3.7,13.32,4.5
11074.6,3.8,13.68,4.39
11078.8,3.9,14.04,4.27
11083.0,4.0,14.4,4.17
11087.3,4.1,14.76,4.07
11091.8,4.2,15.12,3.97
11095.9,4.3,15.48,3.88
11100.1,4.3,15.48,3.88
11104.0,4.2,15.12,3.97
11107.4,4.0,14.4,4.17
11110.8,3.8,13.68,4.39
11114.3,3.7,13.32,4.5
11117.3,3.4,12.24,4.9
11123.2,3.2,11.52,5.21
11126.5,3.1,11.16,5.38
11130.3,3.2,11.52,5.21
11134.1,3.4,12.24,4.9
11138.3,3.5,12.6,4.76
11142.9,3.9,14.04,4.27
11147.1,4.1,14.76,4.07
11151.4,4.2,15.12,3.97
11155.4,4.3,15.48,3.88
11159.8,4.3,15.48,3.88
11164.2,4.3,15.48,3.88
11168.9,4.4,15.84,3.79
11173.5,4.4,15.84,3.79
11177.5,4.4,15.84,3.79
11181.5,4.3,15.48,3.88
11185.6,4.3,15.48,3.88
11189.6,4.1,14.76,4.07
11193.8,4.1,14.76,4.07
11198.2,4.1,14.76,4.07
11202.8,4.3,15.48,3.88
11207.1,4.3,15.48,3.88
11211.4,4.4,15.84,3.79
11215.9,4.4,15.84,3.79
11220.0,4.4,15.84,3.79
11224.3,4.3,15.48,3.88
11228.6,4.3,15.48,3.88
11233.0,4.3,15.48,3.88
11237.7,4.4,15.84,3.79
11242.6,4.5,16.2,3.7
11247.3,4.6,16.56,3.62
11252.7,4.8,17.28,3.47
11257.8,5.0,18.0,3.33
11262.3,4.9,17.64,3.4
11266.8,4.8,17.28,3.47
11271.0,4.7,16.92,3.55
11275.3,4.5,16.2,3.7
11279.8,4.4,15.84,3.79
11283.9,4.3,15.48,3.88
11287.9,4.2,15.12,3.97
11291.7,4.1,14.76,4.07
11295.6,4.1,14.76,4.07
11299.5,3.9,14.04,4.27
11303.5,3.9,14.04,4.27
11307.2,3.9,14.04,4.27
11311.7,4.0,14.4,4.17
11316.0,4.1,14.76,4.07
11319.8,4.1,14.76,4.07
11323.2,3.9,14.04,4.27
11327.7,3.2,11.52,5.21
11331.0,1.3,4.68,12.82
11334.5,0.7,2.52,23.81
11338.3,0.8,2.88,20.83
11342.1,1.3,4.68,12.82
11345.8,1.1,3.96,15.15
11349.0,1.1,3.96,15.15
11352.9,1.0,3.6,16.67
11356.9,0.9,3.24,18.52
11360.5,1.1,3.96,15.15
11364.5,1.3,4.68,12.82
11368.9,1.2,4.32,13.89
11372.0,1.3,4.68,12.82
11375.1,1.3,4.68,12.82
11379.0,1.4,5.04,11.9
11382.1,1.2,4.32,13.89
11386.0,1.2,4.32,13.89
11389.0,1.4,5.04,11.9
11392.5,1.3,4.68,12.82
11395.9,1.4,5.04,11.9
11400.2,1.6,5.76,10.42
11404.3,2.0,7.2,8.33
11407.8,2.0,7.2,8.33
11411.2,1.8,6.48,9.26
11417.0,2.1,7.56,7.94
11422.5,2.5,9.0,6.67
11427.7,2.8,10.08,5.95
11432.5,2.6,9.36,6.41
11437.6,2.5,9.0,6.67
11441.8,2.3,8.28,7.25
11446.9,2.4,8.64,6.94
11452.1,2.4,8.64,6.94
11457.5,2.6,9.36,6.41
11462.8,2.6,9.36,6.41
11465.9,2.8,10.08,5.95
11469.2,2.9,10.44,5.75
11472.4,3.0,10.8,5.56
11477.8,3.0,10.8,5.56
11483.1,2.8,10.08,5.95
11488.7,2.7,9.72,6.17
11494.2,2.7,9.72,6.17
11500.2,2.9,10.44,5.75
11503.5,3.0,10.8,5.56
11509.2,3.0,10.8,5.56
11514.6,2.9,10.44,5.75
11519.8,2.7,9.72,6.17
11524.9,2.6,9.36,6.41
11529.9,2.5,9.0,6.67
11536.9,2.9,10.44,5.75
11540.3,3.1,11.16,5.38
11543.5,3.1,11.16,5.38
11547.1,3.4,12.24,4.9
11550.3,3.4,12.24,4.9
11553.4,3.3,11.88,5.05
11556.5,3.2,11.52,5.21
11562.6,3.1,11.16,5.38
11565.8,3.1,11.16,5.38
11571.0,2.9,10.44,5.75
11576.8,2.8,10.08,5.95
11579.8,2.8,10.08,5.95
11585.3,2.9,10.44,5.75
11590.6,2.8,10.08,5.95
11595.0,2.5,9.0,6.67
11599.6,2.4,8.64,6.94
11602.7,2.4,8.64,6.94
11606.0,2.6,9.36,6.41
11610.6,2.6,9.36,6.41
11615.9,2.6,9.36,6.41
11622.0,2.7,9.72,6.17
11627.7,2.9,10.44,5.75
11633.2,2.9,10.44,5.75
11638.5,2.8,10.08,5.95
11641.9,2.8,10.08,5.95
11645.0,2.9,10.44,5.75
11650.9,2.9,10.44,5.75
11656.8,3.0,10.8,5.56
11660.5,3.1,11.16,5.38
11665.7,3.0,10.8,5.56
11671.6,3.0,10.8,5.56
11674.7,2.8,10.08,5.95
11677.7,2.9,10.44,5.75
11680.9,3.0,10.8,5.56
11684.1,3.1,11.16,5.38
11689.4,2.9,10.44,5.75
11694.1,2.6,9.36,6.41
11699.3,2.5,9.0,6.67
11702.8,2.7,9.72,6.17
11706.2,2.8,10.08,5.95
11709.9,3.2,11.52,5.21
11713.9,3.3,11.88,5.05
11717.1,3.6,12.96,4.63
11720.2,3.5,12.6,4.76
11725.9,3.2,11.52,5.21
11730.4,2.7,9.72,6.17
11734.0,2.3,8.28,7.25
11738.5,2.1,7.56,7.94
11743.2,2.1,7.56,7.94
11748.8,2.5,9.0,6.67
11752.0,2.7,9.72,6.17
11755.0,2.8,10.08,5.95
11758.4,3.0,10.8,5.56
11762.0,3.1,11.16,5.38
11765.8,3.4,12.24,4.9
11769.4,3.5,12.6,4.76
11772.9,3.6,12.96,4.63
11776.5,3.6,12.96,4.63
11779.7,3.5,12.6,4.76
11783.0,3.4,12.24,4.9
11786.2,3.4,12.24,4.9
11789.4,3.3,11.88,5.05
11792.7,3.2,11.52,5.21
11795.9,3.2,11.52,5.21
11799.0,3.2,11.52,5.21
11804.5,3.0,10.8,5.56
11809.9,2.8,10.08,5.95
11815.5,2.8,10.08,5.95
11818.7,2.8,10.08,5.95
11822.1,2.9,10.44,5.75
11825.3,3.1,11.16,5.38
11828.5,3.1,11.16,5.38
11834.2,3.1,11.16,5.38
11837.3,3.0,10.8,5.56
11840.4,3.0,10.8,5.56
11846.4,3.0,10.8,5.56
11852.3,3.0,10.8,5.56
11855.5,3.0,10.8,5.56
11858.7,3.1,11.16,5.38
11861.8,3.1,11.16,5.38
11865.0,3.1,11.16,5.38
11868.4,3.2,11.52,5.21
11871.6,3.2,11.52,5.21
11877.4,3.1,11.16,5.38
11880.4,3.1,11.16,5.38
11885.3,2.7,9.72,6.17
11890.8,2.7,9.72,6.17
11896.1,2.6,9.36,6.41
11901.5,2.7,9.72,6.17
11907.5,2.8,10.08,5.95
11911.0,3.0,10.8,5.56
11914.9,3.1,11.16,5.38
11918.6,3.4,12.24,4.9
11924.4,3.4,12.24,4.9
11929.1,2.8,10.08,5.95
11933.8,2.5,9.0,6.67
11938.9,2.4,8.64,6.94
11944.8,2.6,9.36,6.41
11948.0,2.8,10.08,5.95
11953.7,3.0,10.8,5.56
11960.4,3.1,11.16,5.38
11965.9,3.0,10.8,5.56
11971.2,2.9,10.44,5.75
11976.9,2.8,10.08,5.95
11982.0,2.7,9.72,6.17
11987.7,2.8,10.08,5.95
11993.5,2.8,10.08,5.95
11998.7,2.8,10.08,5.95
12003.4,2.6,9.36,6.41
12007.9,2.4,8.64,6.94
12011.4,2.1,7.56,7.94
12015.8,2.1,7.56,7.94
12020.8,2.1,7.56,7.94
12024.0,2.5,9.0,6.67
12029.2,2.7,9.72,6.17
12032.3,2.8,10.08,5.95
12038.0,2.8,10.08,5.95
12041.5,2.9,10.44,5.75
12044.9,3.1,11.16,5.38
12048.3,3.2,11.52,5.21
12051.4,3.2,11.52,5.21
12057.2,3.1,11.16,5.38
12062.7,2.9,10.44,5.75
12067.7,2.7,9.72,6.17
12072.7,2.6,9.36,6.41
12078.9,2.7,9.72,6.17
12083.9,2.7,9.72,6.17
12088.1,2.6,9.36,6.41
12092.9,2.3,8.28,7.25
12098.5,2.4,8.64,6.94
12101.6,2.7,9.72,6.17
12107.4,2.9,10.44,5.75
12110.4,2.9,10.44,5.75
12116.3,2.9,10.44,5.75
12119.7,2.5,9.0,6.67
12122.9,2.1,7.56,7.94
12126.7,1.4,5.04,11.9
12130.0,1.4,5.04,11.9
12133.3,1.5,5.4,11.11
12137.7,0.6,2.16,27.78
12142.6,0.8,2.88,20.83
12148.2,1.1,3.96,15.15
12153.4,2.6,9.36,6.41
12158.0,2.6,9.36,6.41
12161.5,2.2,7.92,7.58
12164.7,1.9,6.84,8.77
12169.7,2.0,7.2,8.33
12172.7,2.2,7.92,7.58
12175.8,2.4,8.64,6.94
12181.7,2.8,10.08,5.95
12187.1,2.9,10.44,5.75
12190.5,2.9,10.44,5.75
12193.8,3.0,10.8,5.56
12199.3,2.9,10.44,5.75
12202.4,3.1,11.16,5.38
12206.1,2.5,9.0,6.67
12210.7,2.3,8.28,7.25
12216.8,2.4,8.64,6.94
12220.2,2.8,10.08,5.95
12226.1,3.1,11.16,5.38
12229.4,3.1,11.16,5.38
12232.5,3.1,11.16,5.38
12235.5,3.1,11.16,5.38
12238.8,3.1,11.16,5.38
12241.9,3.2,11.52,5.21
12245.0,3.1,11.16,5.38
12250.7,3.0,10.8,5.56
12253.7,3.0,10.8,5.56
12257.0,3.0,10.8,5.56
12262.8,3.0,10.8,5.56
12268.4,2.9,10.44,5.75
12273.0,2.7,9.72,6.17
12277.6,2.5,9.0,6.67
12282.2,2.3,8.28,7.25
12287.3,2.4,8.64,6.94
12290.8,2.6,9.36,6.41
12294.2,2.8,10.08,5.95
12297.6,3.1,11.16,5.38
12303.3,3.2,11.52,5.21
12307.5,2.7,9.72,6.17
12311.9,2.4,8.64,6.94
12316.9,2.3,8.28,7.25
12322.7,2.5,9.0,6.67
12325.9,2.8,10.08,5.95
12330.7,2.8,10.08,5.95
12336.5,2.8,10.08,5.95
12341.4,2.6,9.36,6.41
12345.9,2.5,9.0,6.67
12351.7,2.5,9.0,6.67
12357.1,2.6,9.36,6.41
12361.2,2.6,9.36,6.41
12365.0,2.2,7.92,7.58
12370.8,2.3,8.28,7.25
12374.4,2.6,9.36,6.41
12378.1,2.8,10.08,5.95
12383.2,3.0,10.8,5.56
12387.5,2.6,9.36,6.41
12391.5,1.7,6.12,9.8
12395.7,1.0,3.6,16.67
12400.8,1.3,4.68,12.82
12404.9,1.5,5.4,11.11
12408.4,2.1,7.56,7.94
12413.9,2.2,7.92,7.58
12419.3,2.4,8.64,6.94
12422.9,2.4,8.64,6.94
12426.1,0.2,0.72,83.33
12431.5,0.3,1.08,55.56
12436.9,0.4,1.44,41.67
12441.1,2.5,9.0,6.67
12447.3,2.6,9.36,6.41
12452.9,2.7,9.72,6.17
12456.2,3.0,10.8,5.56
12459.4,3.0,10.8,5.56
12463.7,3.3,11.88,5.05
12468.3,3.5,12.6,4.76
12473.3,4.1,14.76,4.07
12478.1,4.4,15.84,3.79
12481.9,4.5,16.2,3.7
12487.2,3.8,13.68,4.39
12492.1,2.8,10.08,5.95
12496.8,2.5,9.0,6.67
12502.6,2.6,9.36,6.41
12508.6,2.8,10.08,5.95
12513.2,3.3,11.88,5.05
12518.1,3.6,12.96,4.63
12521.5,3.8,13.68,4.39
12525.3,3.8,13.68,4.39
12528.5,4.0,14.4,4.17
12531.7,3.7,13.32,4.5
12535.0,3.4,12.24,4.9
12538.7,3.4,12.24,4.9
12542.2,3.4,12.24,4.9
12545.9,3.5,12.6,4.76
12550.2,3.7,13.32,4.5
12554.0,3.8,13.68,4.39
12557.2,3.7,13.32,4.5
12560.3,3.6,12.96,4.63
12563.6,3.5,12.6,4.76
12566.6,3.3,11.88,5.05
12571.6,2.9,10.44,5.75
12578.0,2.9,10.44,5.75
12581.7,3.0,10.8,5.56
12584.7,3.0,10.8,5.56
12589.6,3.0,10.8,5.56
12592.8,3.0,10.8,5.56
12598.0,2.7,9.72,6.17
12602.4,2.6,9.36,6.41
12606.3,2.3,8.28,7.25
12611.5,2.3,8.28,7.25
12617.5,2.5,9.0,6.67
12620.8,2.9,10.44,5.75
12624.9,3.1,11.16,5.38
12628.0,3.3,11.88,5.05
12631.1,3.3,11.88,5.05
12636.1,3.1,11.16,5.38
12641.7,2.7,9.72,6.17
12648.2,3.4,12.24,4.9
12654.3,3.9,14.04,4.27
12660.3,4.8,17.28,3.47
12665.7,4.9,17.64,3.4
12669.3,5.5,19.8,3.03
12672.6,4.9,17.64,3.4
12675.8,4.3,15.48,3.88
12679.3,3.8,13.68,4.39
12682.8,3.4,12.24,4.9
12686.7,3.5,12.6,4.76
12689.8,3.4,12.24,4.9
12694.8,3.8,13.68,4.39
12699.5,4.0,14.4,4.17
12704.2,4.3,15.48,3.88
12708.7,4.4,15.84,3.79
12713.4,4.7,16.92,3.55
12716.8,4.4,15.84,3.79
12721.5,3.5,12.6,4.76
12725.6,2.4,8.64,6.94
12728.9,2.4,8.64,6.94
12732.3,2.6,9.36,6.41
12738.0,2.8,10.08,5.95
12743.6,2.9,10.44,5.75
12747.9,3.1,11.16,5.38
12751.8,3.3,11.88,5.05
12755.5,3.5,12.6,4.76
12759.1,3.5,12.6,4.76
12762.2,3.7,13.32,4.5
12765.8,3.6,12.96,4.63
12769.2,3.5,12.6,4.76
12775.1,3.2,11.52,5.21
12779.8,2.8,10.08,5.95
12784.0,2.5,9.0,6.67
12788.3,2.6,9.36,6.41
12792.8,2.9,10.44,5.75
12796.2,3.3,11.88,5.05
12800.3,3.4,12.24,4.9
12810.7,5.3,19.08,3.14
12815.2,4.5,16.2,3.7
12819.4,3.8,13.68,4.39
12824.7,2.3,8.28,7.25
12828.5,2.7,9.72,6.17
12832.9,2.9,10.44,5.75
12838.2,3.8,13.68,4.39
12843.4,4.0,14.4,4.17
12847.9,4.6,16.56,3.62
12851.8,4.7,16.92,3.55
12857.2,3.8,13.68,4.39
12862.9,3.0,10.8,5.56
12866.2,2.9,10.44,5.75
12869.5,3.0,10.8,5.56
12873.1,3.2,11.52,5.21
12876.2,3.2,11.52,5.21
12882.0,3.2,11.52,5.21
12885.2,3.1,11.16,5.38
12889.8,2.7,9.72,6.17
12893.0,2.8,10.08,5.95
12898.0,2.6,9.36,6.41
12901.1,2.6,9.36,6.41
12904.4,2.9,10.44,5.75
12910.4,2.9,10.44,5.75
12915.6,2.9,10.44,5.75
12919.0,2.4,8.64,6.94
12922.1,2.0,7.2,8.33
12929.6,2.3,8.28,7.25
12932.8,2.8,10.08,5.95
12937.7,3.1,11.16,5.38
12943.3,4.2,15.12,3.97
12947.4,4.2,15.12,3.97
12951.8,3.8,13.68,4.39
12956.4,3.7,13.32,4.5
12961.8,3.7,13.32,4.5
12966.0,3.7,13.32,4.5
12970.9,3.9,14.04,4.27
12976.5,4.9,17.64,3.4
12980.2,4.8,17.28,3.47
12984.7,3.7,13.32,4.5
12989.4,2.6,9.36,6.41
12994.2,2.3,8.28,7.25
12999.4,2.4,8.64,6.94
13005.2,2.6,9.36,6.41
13010.0,2.6,9.36,6.41
13014.1,2.5,9.0,6.67
13020.4,2.5,9.0,6.67
13023.9,2.8,10.08,5.95
13027.3,2.9,10.44,5.75
13030.4,3.3,11.88,5.05
13034.8,3.4,12.24,4.9
13039.0,3.7,13.32,4.5
13042.0,3.6,12.96,4.63
13047.2,3.4,12.24,4.9
13053.6,2.9,10.44,5.75
13057.1,2.5,9.0,6.67
13060.7,1.4,5.04,11.9
