Nr,Destination,Prefix,Zone,Mobile,Cost
3866,"Lithuania, Special Services",37052529,7,,0.43
3867,"Lithuania, Special Services",37052530,7,,0.43
3868,"Lithuania, Special Services",37052654,7,,0.43
3869,"Lithuania, mobile",3706,2,1,0.40
3870,"Lithuania, mobile",370600,2,1,0.40
3871,"Lithuania, mobile",370601,2,1,0.40
3872,"Lithuania, mobile",370602,2,1,0.40
3873,"Lithuania, mobile",370603,2,1,0.40
3874,"Lithuania, mobile",370604,2,1,0.40
3875,"Lithuania, mobile",370605,2,1,0.40
3876,"Lithuania, mobile",370606,2,1,0.40
3877,"Lithuania, mobile",370607,2,1,0.40
3878,"Lithuania, mobile",37061,2,1,0.40
3879,"Lithuania, mobile",37062,2,1,0.40
3880,"Lithuania, mobile",37063,2,1,0.40
3881,"Lithuania, mobile",37065,2,1,0.40
3882,"Lithuania, mobile",370670,2,1,0.40
3883,"Lithuania, mobile",370671,2,1,0.40
3884,"Lithuania, mobile",370672,2,1,0.40
3885,"Lithuania, mobile",370673,2,1,0.40
3886,"Lithuania, mobile",370674,2,1,0.40
3887,"Lithuania, mobile",370675,2,1,0.40
3888,"Lithuania, mobile",370676,2,1,0.40
3889,"Lithuania, mobile",370677,2,1,0.40
3890,"Lithuania, mobile",370678,2,1,0.40
3891,"Lithuania, mobile",370680,2,1,0.40
3892,"Lithuania, mobile",370681,2,1,0.40
3893,"Lithuania, mobile",370682,2,1,0.40
3894,"Lithuania, mobile",370683,2,1,0.40
3895,"Lithuania, mobile",370684,2,1,0.40
3896,"Lithuania, mobile",370685,2,1,0.40
3897,"Lithuania, mobile",370686,2,1,0.40
3898,"Lithuania, mobile",370687,2,1,0.40
3899,"Lithuania, mobile",370688,2,1,0.40
3900,"Lithuania, mobile",370689,2,1,0.40
3901,"Lithuania, mobile",370698,2,1,0.40
3902,"Lithuania, mobile",370699,2,1,0.40
3903,"Lithuania, Special Services",3707,7,,0.43
3904,"Lithuania, Special Services",37070712,7,,0.43
3905,"Lithuania, Special Services",3708,7,,0.43
3906,"Lithuania, Special Services",3709,7,,0.43
3907,Latvia,371,4,,0.75
3908,"Latvia, mobile",3712,4,1,0.95
3909,"Latvia, mobile 2",3712010,4,1,0.95
3910,"Latvia, Special Services",3712018,7,,0.47
3911,"Latvia, Special Services",3712090,7,,0.47
3912,"Latvia, mobile 2",3712094,4,1,0.95
3913,"Latvia, Special Services",3712099,7,,0.47
3914,"Latvia, mobile 2",37121,4,1,0.95
3915,"Latvia, mobile 2",371222,4,1,0.95
3916,"Latvia, mobile 2",3712400,4,1,0.95
3917,"Latvia, mobile 2",3712500,4,1,0.95
3918,"Latvia, mobile 2",3712722,4,1,0.95
3919,"Latvia, mobile 2",3712723,4,1,0.95
3920,"Latvia, mobile 2",3712724,4,1,0.95
3921,"Latvia, mobile 2",3712725,4,1,0.95
3922,"Latvia, mobile 2",3712726,4,1,0.95
3923,"Latvia, mobile 2",3712727,4,1,0.95
3924,"Latvia, mobile 2",3712769,4,1,0.95
3925,"Latvia, mobile 2",3712791,4,1,0.95
3926,"Latvia, mobile 2",3712794,4,1,0.95
3927,"Latvia, mobile 2",3712795,4,1,0.95
3928,"Latvia, mobile 2",3712840,4,1,0.95
3929,"Latvia, mobile 2",3712900,4,1,0.95
3930,"Latvia, Special Services",37165153,7,,0.47
3931,"Latvia, Special Services",37165158,7,,0.47
3932,"Latvia, Special Services",37165159,7,,0.47
3933,"Latvia, Riga",37167,4,,0.75
3934,"Latvia, mobile",371681,4,1,0.95
3935,"Latvia, mobile",371685,4,1,0.95
3936,"Latvia, Special Services",3716850,7,,0.47
3937,"Latvia, Special Services",37168501,7,,0.47
3938,"Latvia, Special Services",37168502,7,,0.47
3939,"Latvia, Riga",3717,4,,0.75
